1994;2203;2099;2391;4
2305;2814;2345;2920;30
2381;2472;2440;2564;24
2290;2613;2426;2759;39
2592;2673;2692;2708;12
2111;2002;2265;2105;65
2355;2472;2384;2564;55
2290;2328;2426;2444;45
1994;2167;2099;2215;75
2467;2814;2583;2920;11
2041;2002;2231;2105;21
2592;2286;2692;2314;25
2297;2814;2352;2920;29
2592;2616;2692;2733;85
2083;2472;2143;2564;7
2290;2749;2426;2879;73
1994;2350;2099;2470;45
2292;2002;2459;2105;25
2271;2002;2416;2105;37
2142;2814;2229;2920;73
2290;2040;2426;2062;18
2592;2304;2692;2462;33
2075;2472;2159;2564;78
1994;2040;2099;2100;10
1994;2275;2099;2338;69
2035;2814;2207;2920;79
2109;2002;2160;2105;96
2592;2191;2692;2291;4
2307;2472;2409;2564;41
2290;2711;2426;2814;89
2176;2472;2371;2564;40
1994;2564;2099;2743;12
2569;2814;2681;2920;41
2592;2733;2692;2827;96
2290;2062;2426;2233;58
2227;2002;2267;2105;34
2592;2164;2692;2291;84
2290;2598;2426;2666;83
2480;2814;2588;2920;48
2352;2472;2415;2564;49
1994;2663;2099;2720;64
2234;2002;2349;2105;22
2431;2472;2555;2564;35
2457;2814;2583;2920;90
1994;2850;2099;2893;49
2592;2446;2692;2568;28
2290;2375;2426;2550;16
2124;2002;2296;2105;3
2290;2138;2426;2160;26
2240;2002;2283;2105;16
2261;2472;2391;2564;37
2450;2814;2502;2920;10
2592;2285;2692;2460;46
1994;2283;2099;2370;94
2592;2350;2692;2509;36
1994;2160;2099;2284;80
2271;2814;2296;2920;52
2290;2165;2426;2249;10
2482;2002;2597;2105;70
2176;2472;2316;2564;22
1994;2257;2099;2283;68
2251;2472;2358;2564;66
2290;2598;2426;2653;72
2592;2720;2692;2790;43
2490;2814;2667;2920;85
2423;2002;2614;2105;41
2539;2814;2618;2920;57
2290;2094;2426;2173;8
1994;2036;2099;2203;91
2254;2002;2335;2105;22
2592;2829;2692;2906;6
2132;2472;2195;2564;21
2577;2472;2623;2564;5
2033;2814;2192;2920;16
2290;2607;2426;2773;50
1994;2517;2099;2558;67
2592;2651;2692;2678;93
2030;2002;2056;2105;66
2308;2814;2369;2920;17
2550;2002;2584;2105;39
1994;2229;2099;2393;72
2290;2716;2426;2874;75
2494;2472;2573;2564;90
2592;2145;2692;2339;67
2592;2292;2692;2382;35
1994;2012;2099;2116;41
2393;2472;2539;2564;58
2245;2002;2307;2105;95
2290;2313;2426;2465;4
2562;2814;2677;2920;88
2592;2789;2692;2814;55
2349;2472;2396;2564;55
1994;2114;2099;2281;96
2290;2748;2426;2871;53
2306;2002;2394;2105;17
2510;2814;2688;2920;73
2290;2582;2426;2779;99
2564;2814;2688;2920;48
2186;2472;2287;2564;43
2592;2138;2692;2190;94
1994;2667;2099;2768;12
2144;2002;2285;2105;7
2471;2814;2509;2920;86
1994;2364;2099;2460;78
2109;2002;2171;2105;96
2427;2472;2542;2564;63
2592;2487;2692;2556;20
2290;2198;2426;2246;48
2290;2311;2426;2431;78
2308;2472;2398;2564;20
2439;2002;2554;2105;28
2592;2082;2692;2235;69
2061;2814;2158;2920;88
1994;2132;2099;2306;33
2592;2228;2692;2275;68
2290;2812;2426;2876;15
2331;2814;2503;2920;54
1994;2205;2099;2281;18
2377;2002;2549;2105;65
2464;2472;2568;2564;62
2094;2002;2197;2105;88
1994;2352;2099;2519;13
2592;2374;2692;2553;7
2243;2472;2324;2564;90
2603;2814;2658;2920;15
2290;2330;2426;2381;97
1994;2137;2099;2317;15
2290;2693;2426;2817;16
2080;2472;2272;2564;63
2572;2814;2655;2920;3
2431;2002;2501;2105;30
2592;2220;2692;2314;69
2290;2023;2426;2200;31
2453;2814;2479;2920;69
1994;2259;2099;2385;77
2436;2472;2529;2564;65
2592;2185;2692;2356;36
2385;2002;2576;2105;93
2268;2814;2392;2920;2
2290;2530;2426;2566;70
2370;2002;2458;2105;31
2592;2266;2692;2424;80
1994;2410;2099;2570;7
2434;2472;2587;2564;32
1994;2652;2099;2834;50
2006;2814;2179;2920;16
2258;2472;2330;2564;79
2290;2703;2426;2884;54
2592;2091;2692;2249;17
2047;2002;2162;2105;96
2533;2472;2675;2564;9
2290;2137;2426;2164;37
1994;2733;2099;2775;83
2188;2814;2246;2920;7
2405;2002;2542;2105;72
2592;2684;2692;2850;5
2233;2814;2375;2920;70
2592;2197;2692;2298;75
2585;2472;2684;2564;78
2290;2826;2426;2870;53
1994;2725;2099;2746;27
2107;2002;2282;2105;72
2310;2002;2491;2105;8
2441;2814;2640;2920;2
2290;2266;2426;2450;48
2592;2528;2692;2602;80
2399;2472;2568;2564;44
1994;2740;2099;2876;78
1994;2680;2099;2833;99
2391;2814;2558;2920;78
2239;2002;2344;2105;27
2592;2351;2692;2400;83
2221;2472;2258;2564;40
2290;2753;2426;2802;7
2345;2472;2526;2564;74
1994;2746;2099;2895;10
2171;2814;2275;2920;27
2592;2135;2692;2157;48
2290;2591;2426;2741;85
2434;2002;2513;2105;15
2592;2682;2692;2793;96
2290;2843;2426;2894;9
2005;2814;2046;2920;94
2011;2472;2035;2564;5
1994;2516;2099;2564;61
2477;2002;2663;2105;5
2008;2472;2124;2564;82
2065;2814;2141;2920;30
1994;2684;2099;2863;92
2592;2659;2692;2794;93
2290;2793;2426;2843;49
2260;2002;2288;2105;32
2290;2323;2426;2418;51
2249;2002;2346;2105;39
2488;2472;2599;2564;20
2178;2814;2248;2920;41
2592;2142;2692;2323;58
1994;2180;2099;2330;47
2592;2170;2692;2344;35
1994;2197;2099;2230;39
2163;2814;2203;2920;73
2290;2151;2426;2246;10
2408;2002;2589;2105;56
2242;2472;2351;2564;56
1994;2555;2099;2605;22
2215;2472;2328;2564;5
2290;2519;2426;2678;40
2592;2166;2692;2300;41
2177;2814;2214;2920;63
2490;2002;2524;2105;64
2277;2814;2363;2920;73
2290;2301;2426;2477;22
1994;2669;2099;2756;57
2105;2002;2299;2105;6
2592;2437;2692;2519;74
2092;2472;2114;2564;17
2320;2472;2485;2564;66
2217;2814;2361;2920;65
2290;2009;2426;2144;44
1994;2337;2099;2492;27
2592;2434;2692;2477;76
2377;2002;2529;2105;86
2195;2814;2285;2920;43
2323;2002;2505;2105;20
1994;2130;2099;2325;25
2290;2051;2426;2141;48
2206;2472;2398;2564;41
2592;2142;2692;2166;14
2592;2452;2692;2618;82
1994;2428;2099;2546;63
2590;2472;2642;2564;7
2243;2002;2404;2105;85
2290;2719;2426;2780;37
2158;2814;2277;2920;90
2592;2562;2692;2715;29
2199;2472;2296;2564;45
1994;2728;2099;2753;23
2290;2313;2426;2345;42
2185;2002;2354;2105;27
2098;2814;2250;2920;23
2290;2182;2426;2222;89
2498;2814;2687;2920;67
2251;2472;2376;2564;27
2592;2089;2692;2159;68
1994;2540;2099;2717;7
2549;2002;2650;2105;47
2202;2814;2328;2920;4
1994;2651;2099;2780;51
2074;2002;2212;2105;27
2159;2472;2209;2564;79
2592;2273;2692;2392;81
2290;2402;2426;2568;35
2290;2418;2426;2536;24
2272;2472;2383;2564;97
2609;2002;2665;2105;47
2592;2776;2692;2910;58
2373;2814;2533;2920;80
1994;2558;2099;2631;82
2592;2484;2692;2558;76
2290;2053;2426;2109;6
2368;2814;2522;2920;26
1994;2519;2099;2636;35
2636;2002;2670;2105;97
2542;2472;2681;2564;30
2257;2002;2323;2105;94
1994;2635;2099;2735;49
2592;2164;2692;2328;83
2265;2472;2294;2564;13
2542;2814;2653;2920;87
2290;2349;2426;2439;93
1994;2706;2099;2893;63
2290;2044;2426;2070;40
2209;2472;2368;2564;80
2576;2814;2686;2920;42
2588;2002;2664;2105;11
2592;2725;2692;2880;80
2290;2706;2426;2819;93
2206;2814;2360;2920;40
1994;2268;2099;2324;4
2139;2472;2215;2564;85
2592;2028;2692;2209;61
1999;2002;2128;2105;36
2021;2814;2147;2920;7
2290;2202;2426;2292;51
2403;2002;2496;2105;65
2592;2497;2692;2540;28
1994;2279;2099;2352;67
2550;2472;2576;2564;6
